relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
75.0,13.0,-2.5,0,0.30285952235989827,2.1460377384912075
73.0,13.2,-2.0,0,0.14644827946989486,2.1604962159567704
71.0,12.0,-1.4,0,0.07336174949637243,1.8966686166932585
69.0,11.2,-1.0,0,-0.00944382461617533,1.7227119635152504
70.0,11.8,-2.4,0,0.1174975474920554,1.9211065265256848
70.0,9.6,-2.4,0,0.26135039737816407,1.4932970864340918
71.0,9.0,-2.6,0,0.3681408434735782,1.3858165766178263
73.0,8.4,-2.9,1,0.534271130502607,1.2814871530667593
74.0,7.6,-3.2,1,0.6623571181441646,1.1411585817311378
76.0,6.0,-3.3,1,0.8774390447357024,0.830282910251405
77.0,5.5,-3.2,1,0.9530366957122566,0.7241171667905727
79.0,4.9,-3.2,1,1.094512953526339,0.6016566259544115
81.0,4.9,-3.3,1,1.2049746256552525,0.6019150927231098
82.0,5.4,-3.2,1,1.2151846175926664,0.6902081856675469
83.0,5.0,-3.1,1,1.284243502665306,0.6034883258472413
86.0,4.8,-3.2,1,1.458904537797347,0.5619624058383861
82.0,3.6,-3.0,1,1.3164463843864878,0.3280948686146658
84.0,4.7,-3.0,1,1.346763621834032,0.5362143496674626
85.0,4.7,-3.2,1,1.414321472505962,0.545409141694359
88.0,4.5,-3.5,1,1.6054185271146335,0.5159706332088997
93.0,2.5,-3.9,1,2.024675040122672,0.13676468596265398
95.0,2.5,-4.1,1,2.143354721989901,0.14306685849305045
97.0,2.5,-4.4,1,2.2702524135954456,0.15541273678514486
97.0,4.7,-3.7,1,2.068873495541129,0.5409162365448519
81.0,4.1,-2.0,1,1.1504506262884644,0.36777984869682
74.0,4.4,-0.7,1,0.6661473836115278,0.36779766119182516
69.0,4.7,0.6,1,0.2840878033251897,0.3620302346938308
65.0,5.3,1.8,1,-0.058248233739276005,0.4177515453826153
75.0,6.1,0.2,1,0.5321481067954501,0.6410917117290014
76.0,5.9,0.5,1,0.5716934405836308,0.5811762076663538
81.0,5.8,0.1,1,0.8667134014173022,0.5714420495901199
90.0,4.6,-2.1,1,1.586071287264902,0.44501939719265493
93.0,4.7,-2.1,1,1.7328980149468856,0.4557874223436827
95.0,4.3,-2.3,1,1.8777327604297709,0.3843060603119713
96.0,3.6,-2.8,1,2.015716001644045,0.2755107841402729
97.0,3.8,-3.1,1,2.078414330246463,0.3296410492099211
98.0,4.8,-3.2,1,2.0723665121409374,0.5272509718803889
96.0,4.9,-3.0,1,1.9471480643697936,0.5403946829905193
96.0,5.2,-2.7,1,1.9028777374431054,0.5806012166270063
96.0,5.0,-2.4,1,1.8913012400359872,0.5235783320608582
95.0,4.0,-2.7,1,1.9302210970947746,0.3501432324371826
96.0,3.8,-2.6,1,1.9862024503595863,0.3023151398979308
96.0,2.8,-2.3,1,2.0269360801837806,0.08972518620756735
95.0,2.5,-2.2,1,1.987212536961908,0.028236449020788226
94.0,3.5,-2.1,1,1.862485036989153,0.21954419916085957
93.0,5.7,-2.1,1,1.6675103559077453,0.6502462587489521
